gyset	gylfi
videofilmet	videofilmede
mens	medens
de	det
tævede	tævede
den	dens
sorte	sortemotorcyklist
motorcyklist	motorcyklist
rodney	rodney
king	king

først	første
hjuler	hjuler
den	det
amerikanske	amerikanske
ambassadør	ambassadøriført
iført	
styrthjelm	styrthjelmen
med	ved
det	de
amerikanske	amerikanske
flag	flaggrøn
grøn	
vindjakke	
og	
stort	stor
smil	
forbi	forbie
på	
en	seare
segway	segway
og	
svinger	svinge
i	høj
høj	højfart
fart	
ind	
i	
gruset	grusets
foran	fra
dybe	dyb
mølle	møller

på	fra
christiansborg	christiernsborg
var	varer
hæle	hele
og	
hendes	henne
inderkreds	inderkredse
ikke	ligefrem
ligefrem	lige frem
begejstret	begejstrede

the	then
lives	livest
of	ofther
denmark	denmark
ve	vesey
se	
af	at
dukla	duclay
er	af
gaten	gatens
historieprofessor	historieprofessore
i	in
new	newyork
york	yorker
og	of
designs	designce
af	as
gas	gaze
charleston	charleston

jeg	det
havde	er
mest	mestspillet
spillet	spillede
revy	revyer
og	
der	dér
handler	handlede
det	de
kun	
om	at
at	holde
holde	holdet
figuren	figurerne
i	ganske
ganske	
få	for
minutter	minutter

kopier	kopiér
effekter	effekterne
og	gennem
gennem	gem
i	
udklip	udklipsholder
holder	

i	itoronto
toronto	toronto
er	af
psykiater	psykiatrich
jet	jette
das	
kalkes	kalkers
anmeldt	anmeldte
et	
forsøg	
med	at
at	
stimulere	stimulerer
i	områderne
områderne	
nucleus	nucleusaccampens
af	accumbens
campens	campbells
og	om
den	dens
centrale	centrales
timen	timentom
tom	
for	får
at	
modvirke	modvirken
de	det
skizofrene	skizofrenes
negative	negatives
symptomer	symptomers

direktøren	direktører
komma	komma
der	da
repræsenterer	repræsenterer
næsten	et
et	tusind
tusind	
dagligvareforretninger	dagligvareforretninger
lige	ligefra
fra	
store	storevarehuse
varehuse	varehuser
til	thi
de	det
små	småkiosker
kiosker	kioskere
komma	komma
er	er
stærkt	stærk
kritisk	kritiske
over	overfor
for	
lukkelovens	lukkelovens
omsætnings	omsætningsgrænse
grænse	
punktum	

alligevel	alligevel
begyndte	begyndtes
jeg	jer
at	rende
rende	
helsingør	helsingørdagblad
dagblad	
på	
dørene	dørene
men	mens
de	det
havde	har
brug	bruget
for	fra
en	lærling
lærling	lærling

fortællingen	fortællingerne
følger	føler
den	dens
sumeriske	sumariske
konge	kongeart
af	arrow
uruk	
der	da
bliver	blir
venner	vender
med	medville
vil	villamanden
manden	
enkidu	enkidu

det	der
faldt	faldt
aldrig	altid
hjalmar	hjalmarind
ind	
og	at
tilbyde	tilbydede
at	og
køre	kører
en	én
tur	
med	
hende	henne
ud	ude
på	
landet	landene
om	og
søndagen	søndagene
og	han
han	
havde	har
ellers	eller
en	én
bil	billeder
der	da
nok	var
var	varverd
værd	værdig
at	og
prale	pralet
af	ad

om	og
få	får
dage	
får	for
vi	i
på	potryk
tryg	tryk
hvordan	hvornår
et	det
regerings	regeringsudvalg
udvalg	
vil	ville
ændre	ændres
retsvæsenet	retsvæsnet

et	ét
eksempel	
er	af
belysningen	belysningerne
om	omnatten
natten	natten
komma	komma
hvor	hvoraf
broen	broen
ikke	blot
blot	blotskal
skal	ska
være	været
synlige	synlig
af	ad
hensyn	hensynet
til	the
skibene	skibene
og	af
flysikkerheden	flysikkerheden
punktum	punktum

flyt	flyt
dig	der
lidt	let
så	som
jeg	kan
kan	ka
komme	kommet
ud	ude
sagde	sagte
hun	hund
og	hun
hun	
var	har
stiv	stivafspændelse
af	at
afspænde	afspændelse
lse	
og	om
sonja	sonja
gik	gikke
væk	fra
fra	for
døren	døren
og	når
nova	nova
kom	komme
ud	ude
på	den
den	denne
halvmørke	halvmørkegang
gang	gangsom
som	så
eleverne	eleverne
havde	have
malet	malet
i	psykedeliske
psykedeliske	psykedelige
mønstre	mønster
og	farver
farver	farve
og	hun
hun	
løb	løbede
ned	nede
i	
badeværelset	badeværelse
på	først
først	første

så	sig
kan	ka
preben	prebens
cykel	cykle
hen	
med	
en	halv
halv	halvliterfløde
liter	literfløde
fløde	

nu	nul
var	varer
der	det
kun	kunne
en	én
smal	smalsti
sti	
mellem	imellem
alle	alletønderne
tønderne	tølterne
og	af
skrigene	skrigene
og	af
de	det
fremmede	fremmede
gryder	grydere
og	
pynte	pyntedimser
dimser	
men	mens
stien	stien
førte	førtes
hen	hentil
til	
essen	essan

overtræder	overtræd
alle	al
de	det
kogte	kogtes
love	lover
der	da
findes	finnes
drillede	drillet
hun	hund

det	de
er	evige
evig	evigt
i	
temaer	
men	mens
de	det
bør	bare
altid	altid
tolkes	tolkes
på	påny
ny	nyen

han	hun
fægter	færer
desperat	desperate
med	men
armene	armerne
og	forsøger
forsøger	forsøge
gentagne	gentagnes
gange	ganger
at	og
trække	
sig	så
op	ad
af	ad
hullet	hullet
men	med
hver	hvergang
gang	
glider	glir
han	hans
ubehjælpeligt	ubehjælpelig
tilbage	tilbagen
i	det
det	de
iskolde	iskoldes
vand	vands

han	hun
går	gå
ind	inde
gennem	igennem
en	én
port	porte
og	hvad
hvad	hva
han	
skal	ska
der	dér
blir	blive
aldrig	altid
opklaret	opklarede

tænk	tænkt
hvis	vi
f	f n
n	e n
kunne	kun
have	ha
handlet	handlede
i	syrien
syrien	zyriankonflikten
konflikten	
allerede	alleredes
for	fra
fire	
eller	
fem	
år	
siden	sident
med	men
en	
fredsbevarende	fredsbevarende
fn	f n
styrke	
og	nogen
nogle	nogen
observatører	observatørerne
der	da
kunne	ku
gå	gåen
ind	
og	at
kigge	kikke
på	hvad
hvad	hva
der	det
skete	sketes
og	hvem
hvem	hvemter
der	det
dræbte	dræbtes
hvem	hvemme

jose	joseph
piket	pickett
og	om
hans	han
tropper	tropper
blev	bliver
slået	slået
tilbage	tilbagen
af	ad
unionshæren	unionshærene

generation	generationen
tre	tres
sidder	siddere
ikke	sidder
stille	stillet
og	at
venter	vente
på	at
at	de
de	
etablerede	etablerende
partier	partierne
for	får
brudt	
irakerne	irakerne
ned	
og	
begynder	begynde
at	tage
tage	tager
deres	deres
medlemmer	medlemme
alvorligt	alvorlig
igen	gennem

at	og
gå	gåen
ind	inde
i	
billedet	billedets
ikke	ikkeløft
løft	løftfaldt
faldt	
en	engang
gang	
i	svime
svime	svimet
foran	forane
en	ikon
ikon	ikon
som	så
mange	mangen
pilgrimme	pilgrimer
havde	har
kysset	kyssede
i	istanbult
istanbul	istanbult

hun	hund
går	gård
op	ad
ad	af
de	det
to	
gader	gaderte
til	thi
nannas	nannas
hus	husstopper
stopper	
op	oppe
på	
fortovet	fortovet
for	fra
at	
beundre	beundrer
farverne	farverne
på	paa
stauderne	stauderne
i	ibedene
bedene	bedene
hører	høre
så	såstemmer
stemmer	stemme
i	søndagsstilheden
søndags	søndagsstilheden
stilheden	

og	om
jeg	det
fik	fiks
omsider	omsiderbestilt
bestilt	bestilten
en	
tid	
hos	ole
ole	olevagnipsen
vagn	vagnipsen
ipsen	

nu	nuer
er	har
det	de
dem	den
der	da
bliver	blir
duknakkede	duknakket
som	somom
om	
kraften	kraftene
der	da
er	udvekslet
udvekslet	
mellem	imellem
os	også
sad	sagt
på	paa
en	én
løftestang	løftestang

hvis	vi
vi	i
skal	ska
have	ha
denne	den
entropi	entropie
der	da
vokser	voksere
og	at
vokser	vokse
som	så
tiden	tiden
går	gå
så	såskal
skal	ska
vi	i
også	osse
have	ha
haft	haft
orden	ordenen
til	at
at	
begynde	begynder
med	men

at	og
tillægge	tillægger
cigaret	cigaretreklamer
reklamer	
end	en
magt	magten
til	at
at	
udnytte	udnytte
de	det
unge	unges
svarer	svare
til	at
at	
indrømme	indrømmet
at	forældre
forældre	forælderen
i	idag
dag	
har	havde
mindre	mindret
kontrol	kontroller
over	af
deres	dets
børns	børnsmoralske
moralske	moralsker
opdrag	opdrage
end	endda
den	dens
kommercielle	kommercielles
kultur	kulturhar
har	her

ifølge	ifølgen
bestyrelsen	bestyrelserne
kan	ka
en	fusion
fusion	fusion
blive	bliver
en	decideret
decideret	decideret
game	gametanger
tanger	

men	man
omvendt	omvendte
hvis	vil
man	han
kunne	ku
fotografere	fotograferes
i	krig
krig	
med	ved
dette	det
udstyr	udstyrer
for	fra
hundrede	hundredetres
og	
tres	
år	
siden	sidens
så	sig
kan	ka
jeg	
også	osse
i	dag
dag	

han	hun
er	på
på	påpletten
pletten	pletten
hver	vejrmorgen
morgen	
i	samme
samme	
øjeblik	øjebliksolen
solen	solen
har	er
sluppet	sluppet
hus	husryggen
ryggen	
over	overfor
for	
og	
bliver	blir
siddende	sidden
til	thi
den	dem
bliver	blir
splintret	splintret
af	at
gren	grenværket
værket	
igen	
og	at
ikke	længere
længere	længeregyder
gyder	gyder
sin	sine
varme	varmer
over	overcaféborde
caféborde	cafebordet

man	han
kunne	ku
se	sige
at	kraniet
kraniet	kranieret
var	blev
blevet	bleven
knust	knuste
så	som
hjernemasse	hjernemassen
var	
synlig	synligt
det	der
var	varer
også	osse
tydeligt	tydelig
at	den
den	dem
var	blev
blevet	bleven
trykket	trykken
godt	god
og	grundigt
grundigt	grundig
ind	inde

næst	næsten
kommer	kom
det	de
om	og
dagbladenes	dagbladenes
ekspedition	ekspeditioner
efter	at
at	søge
søge	søger
om	omkendte
ukendte	ukendtes
øer	øer

jo	joe
lige	ligenetop
netop	
sagde	sagte
charly	charlie
og	at
et	smil
smil	
bredte	bredte
sig	så
over	overhans
hans	han
ansigt	ansigter

annuller	annullér
handling	handlingen

det	de
sidste	sidst
var	er
uundværligt	uundværlig
for	fra
mig	man
som	så
overvejende	overvejende
fjern	fjernstuderende
studerende	

himlen	himmelen
blev	bliver
mørkere	mørkeret
og	at
det	de
føles	føltes
koldere	koldere
end	en
det	de
havde	har
gjort	
før	føre
på	
turen	turen

som	så
tre	tres
årig	
indledte	indledtes
han	hans
en	livlig
livlig	livligt
og	aktiv
aktiv	
pensionisttilværelse	pensionisttilværelse

jeg	jer
tykkest	tykkes
du	duser
ser	siger
noget	nogen
for	forkedet
kedet	kedet
ud	
sagde	sagte
thøger	thøger

annullerer	annullér
formlen	formlen
for	fra
de	det
nederste	
celler	celler

sådan	sådant
som	så
man	men
i	
byens	byens
gamle	gamles
centrum	centrum
mærker	mærkede
en	stille
stille	stillet
opblomstring	opblomstring
af	at
restauranter	restauranternatklubber
natklubber	natklubbers
biografer	biografere
og	teatre
teatre	teatrer

derefter	derfor
giver	gir
han	hans
sig	så
til	tilmed
med	
små	småvrede
vrede	
skridt	
og	at
vandrer	vandre
op	oppe
og	
ned	nedad
ad	af
gulvet	gulvet
inden	inden
han	med
med	mettschuck
et	
suk	suksætter
sætter	sætter
sig	til
til	tilkatederet
kateteret	katederet
og	slår
slår	slå
op	oppe
i	i
geografi	geografibogen
bogen	

jeg	det
taler	talte
ikke	om
om	
ikke	ikkevoldprincippet
vold	voldprincippet
princippet	
men	med
om	
følelsen	følelserne
af	er
at	
sorte	sortet
angivelig	angiveligt
skulle	sku
have	ha
særligt	særlig
brug	brugen
for	fra
dette	det
princip	princippet

han	hun
afgjorde	afgjort
at	der
der	
var	er
forskel	forskelet
på	at
at	
være	
sulten	sultent
hvad	hva
han	
var	varer
og	udhungrede
udhungrede	udhungret
hvad	hva
hun	
var	varer
og	rystede
rystede	rystede
på	paa
hovedet	hoved
med	men
et	ét
smil	smil

hun	han
smilede	smiler
hurtigt	hurtig
til	tilskade
skade	skadet
dig	
med	meder
er	af
det	
og	
så	såsagde
sagde	sagte
hun	hund
det	dette
her	hertil
til	
max	max
men	
hvis	vil
jeg	lyst
lyst	lyste
kan	ka
jo	jog
banke	bankes
på	paa
vores	vor
dør	døre
senere	senere

jussi	justin
bar	bare
det	de
som	så
en	én
mand	
bare	bar
tungere	tungerede
ting	
end	
både	bådekaisa
kajsa	kaisa
og	om
hilda	hilda
som	så
så	sig
på	
ham	
og	
sagde	sagte
nu	nuer
er	
du	
manden	manden
i	huset
huset	husets
usi	usi

alene	alle
arbejdet	arbejdede
med	at
at	
stable	stablere
det	dem
på	paa
benene	bennene
og	at
samle	samlet
de	det
femten	femtent
millioner	mio
kroner	kr
sammen	samme
har	havde
været	
en	kraftpræstation
kraft	kraftpræstation
præstation	
i	
sig	
selv	

jeg	de
vendte	vendtes
prisskilte	prisskiltet
om	og
og	skrev
skrev	skred
nye	ny
priser	priser
på	fra
de	det
dyreste	dyrest
af	ad
varerne	varerne

hvor	hvori
meget	man
fart	far
skal	ska
der	det
være	vær
på	paa
billiard	billiardkuglen
kuglen	

i	istedet
stedet	sted
for	får
at	
stiller	stælder
hun	hundsig
sig	så
igen	igennem
i	en
positur	posituren
med	
det	dette
ene	én
ben	benfremme
fremme	
og	at
synger	synge
med	men
høj	højskælvende
skælvende	
stemme	
toppen	
og	
lille	lillemor
mor	
bor	
går	gå
om	omgård
går	gå
begge	begge
har	harkani
kan	
i	
så	
komme	kommet
af	afsted
sted	
råber	
manden	
og	at
stikker	stikke
det	de
ene	enestribede
stribede	stribende
ben	benud
ud	ude
af	ad
sengen	sengene

jeg	jer
skriver	skrivere
register	registeret
fordi	for
jeg	tror
tror	tro
de	det
havde	har
en	ambition
ambition	
om	at
at	
lave	lavet
et	ét
system	
et	
katalog	
og	
regler	regler
som	så
skulle	sku
hjælpe	hjælpede
dem	den
ud	ude
af	ad
det	de
kaos	kaos
de	det
befandt	befandte
sig	så
i	
og	
ind	inde
i	
det	dette
nye	ny
kaos	kaos
der	da
ventede	ventede
dem	den

hun	han
bliver	blir
ved	været
med	at
at	
rede	rede
mit	mit
hår	hård
og	arbejder
arbejder	arbejde
sig	så
længere	længe
ned	nedtrækker
trækker	trække
håret	håret
ud	ude
under	underpuden
puden	puden
så	som
er	det
det	de
i	stedet
stedet	
bølger	bølge
ned	nedover
over	
brystet	brystet
og	skjuler
skjuler	skjule
nogle	nogen
af	arene
arene	ærinde
og	af
slangerne	slangerne

det	de
røde	rødebørste
børste	børsteskæg
skæg	
gav	gave
ham	han
nok	noken
en	én
farlig	farligmine
mine	mini
alligevel	alligevelt
kunne	kun
det	de
ikke	
skjule	skjulet
mundens	mundens
tavse	tavsesprog
sprog	sprogstædighed
stædig	
hjemløshed	hjemløshedsoverlæben
overlæben	
var	overlæbende
tyk	tykt
af	ad
hemmelig	hemmeliggraden
graden	
alene	alene

talt	tal
dansk	dans
til	til
din	den
computer	computere

gillan	gilan
bebrejdede	bebrejdede
sig	så
selv	selvfordi
fordi	for
han	hans
havde	ladt
ladt	ladet
will	will
tilbage	tilbagealene
alene	
i	det
det	
bakkede	bakkede
celtic	celtica

lindholm	lindholm
bad	bader
marts	martsson
om	
at	
være	
til	tilstede
stede	
som	
upartisk	upartiskobservatør
observatør	observatører
og	at
advarer	advare
ham	
hvis	vil
han	
skulle	sku
komme	kommet
til	at
at	
forløbe	forløbes
sig	så

møbelbranchen	møbelbranchene
har	er
lukket	lukket
sig	så
inde	inden
i	et
et	
uforanderligt	uforanderligt
univers	universitet
med	ved
et	bestemt
bestemt	bestemt
skønhedsideal	skønhedsideal
komma	komma
som	så
man	han
tror	tro
er	evig
evig	eviggyldigt
gyldigt	
punktum	punktum

man	han
kommer	kom
ikke	på
på	på
plejehjem	plejehjemme
med	medmindre
mindre	
man	man
er	meget
meget	
syg	sygt
og	at
ikke	
kan	ka
klare	klares
sig	så
selv	

marker	markér
tekst	teksten

en	ny
ny	nyreklamekampagne
reklamekampagne	reklamekampagne
fra	for
john	jonathan
mccain	mccainlejren
lejren	
sammenligner	sammenlignede
obama	obamakendisfænomenet
med	mckennas
kendis	kendisfænomenet
fænomenet	
paris	parishilton
hilton	hilton
der	da
primært	primærte
er	erkendt
kendt	kend
for	fra
at	være
være	
kendt	kendte

han	hans
tager	tar
ikke	for
for	formeget
meget	
hensyn	hensynet

nej	ej
du	det
skal	ska
ikke	din
din	dine
ånd	ånde

jim	jimme
pedersen	pedersen
ønsker	ønskede
at	give
give	
sine	sin
ansatte	ansat
en	forklaring
forklaring	
på	fra
de	det
ødelæggende	ødelæggede
problemer	problemers
i	idot
dot	d
og	
risiko	risikostyringen
styringen	

piger	piger
med	medjakker
jakker	jakkere
med	var
rolands	rolandsansigt
ansigt	
på	
og	hårbøjler
hårbøjler	hårbøjler
med	vippede
vippe	vippedimser
dimser	
på	
hvor	hvordan
der	det
var	billeder
billeder	billede
af	ad
ham	hammars
helt	
latino	latinostejl
stejl	
uden	
skjorte	skjort

de	det
kommercielle	kommercielles
tv	tvstationers
stationers	
varer	vare
er	af
seere	seere

hun	han
er	har
datter	dattere
af	allord
lord	lauren
og	
lady	ladys
cara	caramon
mon	
af	arronax
grande	grandetten
den	
sagde	sagte
hun	hurtigt
hurtigt	hurtig

det	de
var	er
otte	otteårs
års	
liv	
i	
hjemløshed	hjemløsheden
der	dér
mindede	mindede
det	de
var	varer
otte	otteårs
års	
endelige	
ingenting	ingentinger
der	da
spillede	spilledes
salme	salmen
i	
hans	hansøren
øren	ører
og	at
ikke	ville
ville	vil
tige	tie

en	én
film	fil
om	og
en	et
maniodepressiv	maniodepressivt
person	
spillede	spillet
af	arridset
ridset	
kira	keira

det	dette
her	
var	er
tidligere	tidligere
hendes	hennes
blomster	blomsterstue
stue	
fuld	
af	
smukke	smukkegrønne
grønne	grønner
og	røde
røde	
potteplanter	potteplanters
stiklinger	
bøger	
i	klare
klare	
farver	farvere
om	omhavebrug
havebrug	havebruger
og	om
planter	planterne
nu	nuer
er	af
tomheden	
kravlet	kravlede
ud	udi
i	ihvert
hvert	
et	
hjørne	
har	havde
til	tilintetgjort
intet	
gjort	
alt	altlevende
levende	
lejligheden	lejlighed
af	ad
hende	hennes
fremmed	fremmed
hun	hun
har	havde
det	dét
som	somom
om	
hun	
aldrig	har
har	havde
været	været
her	hér
før	
det	de
har	er
kun	
været	være
en	
drøm	

i	et
et	sidste
sidste	
forsøg	forsøge
på	at
at	
redde	rede
stumperne	
af	ad
imperiet	imperiet
der	dér
fortonede	fortonedes
sig	så
som	så
drømme	drømmen
i	
morgenlys	morgenlyst
var	hvor
kejserinden	keira
vendte	ventet
tilbage	tilbaget
til	
europa	europa
og	at
søgte	søgtes
foretræde	foretrædet
for	fra
napoleon	napoleonen
den	dentredje
tredje	tredjeafrankrig
af	ad
frankrig	frankrig
hvis	vi
strategiske	strategiske
evner	evne
mageligt	magelig
kunne	kunnet
ligge	lægge
på	paa
et	silkelommetørklæde
silke	silkelommetørklæde
lommetørklæde	

udføre	udfør
effekter	effekterne
i	denne
denne	den
animation	animation

bagefter	bagen
skulle	sku
vi	i
så	såspænde
spænde	spændes
den	denne
anden	andenfryd
fryd	frøken
fast	
og	at
glide	glider
rundt	rundtpå
på	paa
numsen	numsen

anvendt	anvend
fed	fed
skrift	

jeg	de
kan	ka
mærke	mærkes
at	vreden
vreden	vredenen
stadig	stadigvår
brug	bruger
sig	
op	oppe
i	
mig	
når	nord
jeg	
fortæller	fortæl
om	det
det	dets
internationale	internationales
svigt	svigte
der	da
fulgte	fulgtes

will	will
sendte	sendtes
en	taknemlig
taknemmelig	taknemlig
tanke	tanketilbage
tilbage	tilbagepå
på	for
de	det
mange	mangemåneders
måneders	månederstræning
træning	træninger
som	så
halt	halt
havde	har
ladet	ladet
ham	hammars
gennemgå	gennemgåe
da	der
en	ny
ny	
pil	
nærmest	
fløj	fløjede
ud	ude
af	ad
cocker	cocker
og	
lagde	lagdes
sig	så
på	paa
strengen	strenge
uden	udenhan
han	hans
så	såmægt
meget	
som	så
behøvede	behøvet
at	kigge
kigge	kikke
på	den
den	dem

det	de
er	ligesom
ligesom	lisom
hun	at hun
ikke	kan
kan	ka
forstå	forståe
at	det
det	dette
her	
ikke	
sker	skete
for	fra
hendes	hende
skyld	skylde

hun	han
kiggede	kikkede
på	clay
klage	clay
og	han
han	
smilede	smilet
mens	med
hun	
fortsatte	forsatte
sit	sit
telefonopkald	telefonopkald

i	inden
udkanten	udkantene
af	ad
familien	familien
var	varer
der	det
flere	flere
bekendte	bekendt
hjemme	hjemmefra
fra	
for	fx
eksempel	
alexandra	alexandra
kerry	kerry
der	da
også	osse
havde	har
gået	gået
på	paul
brown	brooke
og	
hvis	ved
senator	senatorfar
far	
hjemme	hjemmede
i	
massachusetts	massachusetts
var	hvor
gode	godevenner
venner	
med	men
rufus	ruffs
far	fare

halt	halts
mumlede	mumlede
han	hans
og	at
blev	klar
klar	klart
over	ovre
at	han
han	
sad	sadede
og	at
svajede	svajedes
i	saddelen
sadlen	
og	derpå
derpå	derpålangsomt
langsomt	langsom
gled	glede
ned	nedad
ad	af
den	dem

i	inden
et	ét
omvendt	omvendttidsperspektiv
tidsperspektiv	tidsperspektiv
forstod	forstår
jeg	jer
pludselig	pludseligt
mel	melville
mens	
fortvivlelse	fortvivlelsen
efter	er
at	han
han	
var	varvendte
vendt	vent
tilbage	tilbaget
til	til
civilisationen	civilisationen

kaster	kastor
kalder	kaldervinden
vinden	
tårnet	tårnede
fordi	for
han	hans
vist	viste
er	
temmelig	temmeligt
høj	højt

jeg	jer
ved	vil
hvad	hva
de	det
nummer	nummeret
et	
yndlingsbeskæftigelse	yndlingsbeskæftigelser
er	
sagde	
hun	hund
og	at
kørte	kørtes
sin	sine
finger	fingere
langs	lang
hans	han
hår	hård

jeg	det
har	havde
ofte	oftest
underholdt	underholdt
ham	med
med	
min	mine
viden	videne
om	
alt	al
fra	
menneskekroppens	menneskekroppen
anatomi	anatomier
og	af
human	humanbiologi
biologi	
til	
en	enfiktionsmedicin
fiktions	fiktionsmedicin
medicin	
og	af
epidemier	epidemie

men	mens
epstein	epstein
fornemmede	fornemmet
at	det
det	
ikke	var
var	har
selvkontrol	selvkontrollen
i	i
ydmygheden	ydmyghedens
navn	navnen
som	så
bevægede	bevægede
sig	så
i	ham
ham	
men	
noget	nogen
andet	anden

knuden	knudden
i	min
min	mine
mave	maveløste
løste	løstes
sig	så
lidt	let

rabin	rabbien
tog	to
endnu	nu
et	ét
stykke	
dryppende	dryppende
sild	silde
op	oppe
af	ad
saltlagen	saltlagene
uden	udenså
så	såmæget
meget	
som	at
at	kaste
kaste	
et	ét
blik	
på	for
hende	henne

men	man
en	én
ting	
var	så
så	såsikkert
sikkert	sikker
som	så
ammen	ammenikirken
i	
kirken	kirkene
og	det
det	dét
vidste	viste
de	det
begge	begge
at	lili
lili	lili
ikke	ville
ville	vil
få	for
nogen	nogle
orden	ordner
i	vinterfrakke
vinterfrakke	vinterfrakken
den	dens
vinter	vintere

det	de
virkede	virkedes
ikke	ligefrem
ligefrem	ligefremlogisk
logisk	logiskt
at	og
rejse	rejser
om	omnatten
natten	
for	får
at	
undgå	
at	og
blive	
set	så
og	at
så	såbagefter
bagefter	bageftertænde
tænde	tænde
et	
bål	bål
hvis	vi
røg	røgh
måske	
ville	vil
kunne	kunnet
se	see
i	dagslyset
dagslyset	

hun	han
var	er
ikke	omtalt
omtalt	omtalt
i	første
første	
bind	binde
af	ad
bøgerne	bøgerne
fordi	for
hun	hun
endnu	ikke
ikke	spillede
spillede	spilledes
nogen	nogle
aktive	aktiv
rolle	roller
i	den
den	
periode	periodebindet
bindet	bindet
beskriv	beskrivede

forholdene	forholdende
for	får
mindretal	mindretalen
som	så
karen	karrene
folket	
og	
casting	castingfolket
folket	
er	også
også	osse
i	bedring
bedring	bedringen

nu	nue
hvor	var
vejret	vejret
havde	har
skiftet	skiftet
til	the
streng	strengfrost
frost	
tøve	
sne	
huerne	
på	
toppen	toppene
af	ad
granerne	granerne
ikke	ikkeikke
ikke	engang
engang	engangselv
selv	selvom
om	
solen	solen
skinnede	skinnet
og	at
far	fare
og	
harry	harry
havde	have
svøbt	svøbt
deres	deres
hoveder	hoved
ind	inde
i	et
et	
halstørklæde	halstørklæde
for	fra
at	deres
deres	
øre	ører
ikke	
skulle	sku
fryse	fryses
til	the
is	isles
i	
løbet	
af	ad
den	dens
femten	femtenminutter
minutter	minutters
lange	
cykeltur	cykelturer

virus	viruset
kan	ka
ikke	tænke
tænke	tænkes
bevidst	bevidste
at	det
det	
vil	ville
blive	blivet
modstandsdygtigt	modstandsdygtig

f	f
æ	æ
l	l
l	l
e	æ
s	
æ	æ
k	k
t	t
i	i
v	v
i	i
t	t
e	i
t	t
e	i
r	r
n	n
e	

langt	langtude
ude	
en	én
mil	milude
ude	
brændte	
en	englædes
glædes	glædesild
ild	
på	
en	én
høj	højt

femtes	femogtres
tusind	tusinde
et	hundrede
hundrede	
og	
nioghalvfems	nioghalvfjerds

jeg	jer
så	siger
ham	at ham
skæve	skævet
til	
mit	min
noget	nogen
voldsomme	voldsomme
harpun	harpungevær
gevær	
som	
stadig	stadigt
stod	står
rejst	rejste
op	oppe
af	ad
klippen	klippen

så	sir
løftede	løftede
han	hans
en	åben
åben	åbenhånd
hånd	hånde
og	at
kørte	kørtes
sin	sine
vej	vejer
og	at
dækkende	dækkene
knasede	knaset
hen	henover
over	
knust	knustglas
glas	

endelig	endeligt
kunne	ku
jo	joe
også	osse
slippe	slippes
det	dets
tjenstlige	tjenstliges
tålmod	tålmode
og	jeg
jeg	
gider	gide
ikke	engang
engang	engang
bede	bedet
dig	der
undskylde	undskyldes
ole	ole
hvis	vil
det	de
ellers	kunne
kunne	ku
have	ha
været	
dig	der

han	hans
havde	har
en	enorm
enorm	enormt
